"area";"condition";"length_mean_sd";"length_mean_min";"length_mean_max";"length_mean";"length_median_sd";"length_median_min";"length_median_max";"length_median";"min_length_sd";"min_length_min";"min_length_max";"min_length";"max_length_sd";"max_length_min";"max_length_max";"max_length";"se_sd";"se_min";"se_max";"se";"correlation_sd";"correlation_min";"correlation_max";"correlation";"rmse_sd";"rmse_min";"rmse_max";"rmse";"bias_sd";"bias_min";"bias_max";"bias";"min_exp_sd";"min_exp_min";"min_exp_max";"min_exp";"max_exp_sd";"max_exp_min";"max_exp_max";"max_exp";"n_exp_rmax_sd";"n_exp_rmax_min";"n_exp_rmax_max";"n_exp_rmax";"overlap_sd";"overlap_min";"overlap_max";"overlap";"n_exp0_sd";"n_exp0_min";"n_exp0_max";"n_exp0"
"LC";"ALEEP30";0,231414029261343;32,8308795771989;33,884107210268;33,4768969422424;0,489360484929593;26;28;27,15;0;15;15;15;0;60;60;60;0,000751318524346699;0,312211228834401;0,314665813095035;0,313213544220991;0,00283701647980008;0,903811149784189;0,916022190957132;0,91137273068269;0,00370077328466025;0,286935088248304;0,302038669285913;0,293071103023316;0,00675440523699138;0,0181407876966548;0,0461763590178865;0,0335226256189405;0,00117220609684687;0,00679501698754247;0,0105700264250661;0,00898452246130615;0,00315221913448906;0,0690826727066818;0,0792751981879955;0,0745941864854662;0;0;0;0;0,000322132138876197;0,0408978512413971;0,0423184594764295;0,0417807952327352;0;0;0;0
"LC";"ALEEP30RE015";0,0181148290757502;15,4156285390713;15,4933937334843;15,4542846357116;0;15;15;15;0;15;15;15;0,85224162622679;20;23;20,9;0,00218911896474814;0,442348325379061;0,450716476035559;0,446323009850128;0,00610734712717652;0,815304032705557;0,837665570077736;0,828608570051796;0,00746574863056147;0,408141587857795;0,431463605862747;0,419557304304815;0,00630760013073737;0,077961497633555;0,101842119552301;0,0879252671795506;0,000698229059259922;0,00226500566251416;0,00566251415628539;0,00434126085315213;0,00134097459192358;0,0271800679501699;0,0328425821064553;0,0297281993204983;0;0;0;0;4,53457191259135e-05;0,0187680596779945;0,0189482270177959;0,0188489467499663;0;0;0;0
"LC";"ALETF20";0;20;20;20;0;20;20;20;0;20;20;20;0;20;20;20;0,00130991393258132;0,396139749747946;0,40116713353963;0,398299304359947;0,00346153088406121;0,851167425813408;0,868217142152065;0,86039892179727;0,0041382498768161;0,370920041837008;0,387349206604676;0,378012129562673;0,00801151316725066;0,0642445786127668;0,0947192287382118;0,0757278110133358;0,000763890378093719;0,00453001132502831;0,00679501698754247;0,00562476406191015;0,00181859467329979;0,0362400906002265;0,0426576066440166;0,0394677236693092;0;0;0;0;3,73766418928741e-05;0,0243731368105317;0,0245056682856883;0,02445674707052;0;0;0;0
"LC";"ALETF45";0;45;45;45;0;45;45;45;0;45;45;45;0;45;45;45;0,00148168871828519;0,268113676108345;0,273520690102535;0,27094470824528;0,00233399701531119;0,924974239592449;0,934245061895592;0,929191434141789;0,00399132205789155;0,261450557282185;0,275196640778821;0,267863119582334;0,00538782336671055;0,0330827070504928;0,0530640304369149;0,0453665466988205;0,00149239197836099;0,0105700264250661;0,0169875424688562;0,0136089090222726;0,00420741784153806;0,091355228388071;0,10872027180068;0,0975084937712344;0;0;0;0;8,21542326597603e-05;0,0556308071488269;0,055915928745822;0,0557688571269371;0;0;0;0
"LC";"MIFEP30";0,0522400369273023;16,3786334465836;16,6092865232163;16,4717818044545;0;15;15;15;0;15;15;15;0;60;60;60;0,000452747455441135;0,200878558874816;0,202775066538368;0,20174778753528;0,00139137777859226;0,954909314301289;0,960056195019293;0,958514377317554;0,00320559167808132;0,192967543396279;0,206145033690526;0,197638180113553;0,00275914329036543;0,0115071070054362;0,0214445318630731;0,0157742370734963;0;0;0;0;0;1;1;1;0;12;12;12;0,00156357918817091;0,261588437279425;0,26813198927923;0,265014594585659;4,77824015170527;645;661;651,1
"LC";"MIFEP30RE015";0,00431022420254806;15,0264250660627;15,042657606644;15,034711211778;0;15;15;15;0;15;15;15;1,27630222456166;17;22;18,55;0,000651952246081028;0,209802523504696;0,212258508732579;0,211162619695245;0,00157466854329437;0,951025024505365;0,957224609346078;0,955101200445636;0,00359948954602024;0,203301515364589;0,218097524746066;0,208773206567054;0,00313959055855622;0,0171654373379636;0,0290102944025691;0,0222310477690685;0;0;0;0;0;1;1;1;0;12;12;12;0,0013953888711066;0,281098564912376;0,286390102244152;0,28407141495549;2,69258240356725;725;734;730,25
"LC";"MIFTF20";0;20;20;20;0;20;20;20;0;20;20;20;0;20;20;20;0,000665117725197693;0,183350735549728;0,18574130621127;0,184534705924094;0,00150427327725739;0,96020127227517;0,96621598291511;0,963974157330884;0,0042314775506596;0,17952722860194;0,19745700488712;0,186553837083117;0,00321476117146317;0,0131074892092631;0,0247160269310248;0,0186369232421139;0;0;0;0;0;1;1;1;0,656946685331786;15;17;15,7;0,00112412852352394;0,261778293082954;0,265871520567816;0,263848779591749;3,34781940027268;669;681;675,45
"LC";"MIFTF45";0;45;45;45;0;45;45;45;0;45;45;45;0;45;45;45;0,000284033487299562;0,12878577683697;0,129883236737893;0,129344030312893;0,00056676098882482;0,979527113518857;0,982195849423397;0,980893427576021;0,00228747152788013;0,130186027944129;0,139321736201202;0,134482006084034;0,00239738138000547;0,00613600268116585;0,0157066094901819;0,01040252899649;0;0;0;0;0;1;1;1;0,753937034925052;41;44;42,6;0,00072310335792308;0,27808294693758;0,280619323858615;0,279094955698465;3,46562062490825;511;522;517,3
"LC";"PR1TF20";0;20;20;20;0;20;20;20;0;20;20;20;0;20;20;20;0,00235183720683557;0,207226725222945;0,215452970700583;0,209499347024575;0,00180525465793347;0,950748753410642;0,95887892718658;0,955219642724873;0,00432548508218516;0,199927470182839;0,21698219790406;0,208983534254824;0,00381955426519322;0,0159777831099081;0,0305326908100427;0,0230394401615246;0,000229134382282704;0;0,000755001887504719;0,00018875047187618;0,000392597160624102;0,298603246508116;0,300113250283126;0,299792374480936;0,606976978666884;0;2;0,5;0,000563564877093724;0,118784327255269;0,120950618344836;0,120166019898817;0,850696309223401;0;3;0,75
"LC";"PR1TF45";0;45;45;45;0;45;45;45;0;45;45;45;0;45;45;45;0,00091192139506721;0,187262483119235;0,190569444343993;0,188830697429919;0,00118847594548938;0,957566757934769;0,961971078630079;0,960112924589632;0,00362834303413798;0,190023379169014;0,202193570214148;0,196596965162028;0,0050826194349234;0,0114658082924574;0,0278601277303255;0,0211069360937018;0,000465978120412324;0,000755001887504719;0,00226500566251416;0,001679879199698;0;0,300113250283126;0,300113250283126;0,300113250283126;3,22163737382423;5;15;9,8;0,000427576471229112;0,153497869022136;0,155498761780754;0,154804627150404;0;0;0;0
