"area";"selection";"stop";"length_mean";"length_median";"min_length";"max_length";"se";"correlation";"rmse";"bias";"min_exp";"max_exp";"n_exp0";"n_exp_rmax";"overlap"
"CN";"Aleatorio";"EP30RE015";15,2959501557632;15;15;21;0,596983344782912;0,738886062399647;0,501240828827739;0,0723764834937256;0,0124610591900312;0,0302625723186471;0;0;0,0209694262767063
"CN";"MIF";"TF45";45;45;45;45;0,182136143922633;0,968060252064878;0,184894879287548;0,0218531813423309;0;1;470;56;0,42060520083138
"CN";"MIF";"TF45";45;45;45;45;0,182678206381924;0,965749097378407;0,193058192847295;0,0290287846865435;0;1;468;56;0,419524363868016
"CN";"MIF";"TF45";45;45;45;45;0,183065112287664;0,968707137050404;0,185052776845388;0,0247150912432235;0;1;466;55;0,41801856342282
"CN";"MIF";"TF45";45;45;45;45;0,183404306754884;0,967740172056631;0,188529464290759;0,0249074021778732;0;1;469;57;0,415839592372373
"CN";"MIF";"TF45";45;45;45;45;0,182146066234991;0,966550807810785;0,189318283500565;0,0194946774323796;0;1;457;56;0,41927702820274
"CN";"MIF";"TF45";45;45;45;45;0,183065946293858;0,966466182037503;0,190647069615538;0,0242785232447405;0;1;466;56;0,419722290497447
"CN";"MIF";"TF45";45;45;45;45;0,183903205964574;0,969487615464287;0,185056133065422;0,0311711375175833;0;1;462;57;0,418241295800159
"CN";"MIF";"TF45";45;45;45;45;0,182515604125354;0,967742929138474;0,188543751175314;0,0244592383081151;0;1;467;57;0,417216240960465
"CN";"MIF";"TF45";45;45;45;45;0,181330357731045;0,967545143765078;0,186637805419333;0,0195942882710973;0;1;470;55;0,41628678243812
"CN";"MIF";"TF45";45;45;45;45;0,184298682951471;0,967982457579482;0,189048990282453;0,0299867731099107;0;1;466;57;0,416516697743172
"CN";"MIF";"TF45";45;45;45;45;0,183384294969633;0,967739236130503;0,189557180376954;0,028702505424994;0;1;464;56;0,418066775304047
"CN";"MIF";"TF45";45;45;45;45;0,183133495676636;0,969039875130759;0,184533442862987;0,0279942104003532;0;1;465;56;0,417809994440933
"CN";"MIF";"TF45";45;45;45;45;0,183619797285816;0,965236081953587;0,195782656359238;0,0271846728481472;0;1;471;56;0,417829765097358
"CN";"MIF";"TF45";45;45;45;45;0,181783644871231;0,966867780901544;0,187923967214383;0,0213367199546727;0;1;472;56;0,419587188077678
"CN";"MIF";"TF45";45;45;45;45;0,18122023040593;0,966806388511147;0,186569359142765;0,016588804117658;0;1;470;56;0,419083036338858
"CN";"MIF";"TF45";45;45;45;45;0,181182171842893;0,966379939131685;0,188571619691122;0,0175972174992292;0;1;463;56;0,421114704555554
"CN";"MIF";"TF45";45;45;45;45;0,183014733884997;0,964762562126196;0,197050959604537;0,0285087903389593;0;1;455;55;0,420266907822901
"CN";"MIF";"TF45";45;45;45;45;0,183406561624594;0,96744406386296;0,189702046787933;0,025346823520281;0;1;469;56;0,41692687284442
"CN";"MIF";"TF45";45;45;45;45;0,181469846785099;0,969158290263563;0,182039878187999;0,020557215417232;0;1;469;55;0,419094875845933
"CN";"MIF";"TF45";45;45;45;45;0,183755244242404;0,966712885334432;0,191219357345105;0,0318417955064347;0;1;470;56;0,420143046332899
"CN";"MIF";"TF20";20;20;20;20;0,241762685413873;0,949990084432605;0,232419462123463;0,0314641166834738;0;1;607;24;0,385843657636578
"CN";"MIF";"TF20";20;20;20;20;0,242171830790913;0,948788351205347;0,237037989167768;0,0360156730815407;0;1;611;24;0,38608075366869
"CN";"MIF";"TF20";20;20;20;20;0,241942057425441;0,948713346697089;0,236856435010158;0,0326591077652608;0;1;606;24;0,382961864397548
"CN";"MIF";"TF20";20;20;20;20;0,243781525410846;0,949151176274878;0,240156031251371;0,0343860180035958;0;1;609;26;0,379832161123104
"CN";"MIF";"TF20";20;20;20;20;0,242137545629409;0,943981642215584;0,246138381069161;0,0287536147150593;0;1;606;24;0,383350356475894
"CN";"MIF";"TF20";20;20;20;20;0,242873879169655;0,949175001721274;0,236382946234635;0,0369280473113829;0;1;609;25;0,385419614027228
"CN";"MIF";"TF20";20;20;20;20;0,242503318598237;0,949239302200139;0,237517006392482;0,0337620981212322;0;1;607;26;0,381411441334329
"CN";"MIF";"TF20";20;20;20;20;0,242902987766136;0,948014189537979;0,241497051218376;0,0356631089301668;0;1;608;25;0,380166602990805
"CN";"MIF";"TF20";20;20;20;20;0,24035681476224;0,950341409215255;0,233361615166817;0,0275475347417312;0;1;610;24;0,380811759297716
"CN";"MIF";"TF20";20;20;20;20;0,242877621274415;0,949788933741973;0,237023239412656;0,0326551042877182;0;1;607;24;0,379196353185348
"CN";"MIF";"TF20";20;20;20;20;0,241787628480237;0,947827336274028;0,24086092276699;0,0341110616620716;0;1;609;26;0,38280086250589
"CN";"MIF";"TF20";20;20;20;20;0,241480130594065;0,949643461489087;0,236388988043837;0,0356299790547358;0;1;606;26;0,381427939621419
"CN";"MIF";"TF20";20;20;20;20;0,24386049006994;0,946820122592807;0,241648712045831;0,0371118648082643;0;1;610;24;0,383613794310923
"CN";"MIF";"TF20";20;20;20;20;0,240695220124249;0,946795529710236;0,240218083782113;0,0264398893790321;0;1;609;24;0,382451506820447
"CN";"MIF";"TF20";20;20;20;20;0,239776556314375;0,947323952603415;0,23801188543001;0,0191037737480435;0;1;610;24;0,381150578261992
