"area";"se_sd";"se_min";"se_max";"se";"correlation_sd";"correlation_min";"correlation_max";"correlation";"rmse_sd";"rmse_min";"rmse_max";"rmse";"bias_sd";"bias_min";"bias_max";"bias"
"CH";0,00115841095044025;0,419632526015909;0,424319369476203;0,421583274813112;0,00389513720505675;0,887666504583068;0,90103354502524;0,895281119913032;0,00715163230410771;0,368398488146724;0,392685634529514;0,379202893778783;0,00634174349217687;-0,0745469891405915;-0,0514380617297502;-0,0612237377503828
"CN";0,00168647199167664;0,448185581297283;0,45422498563168;0,451321049274035;0,00402543343820821;0,853081656497404;0,866768570666877;0,860374844202222;0,00488281132555983;0,376168909531957;0,394620254215559;0,38625812637518;0,00679001972388951;-0,0923801605464826;-0,0662405512061047;-0,0784173720393533
"LC";0,000883992791483543;0,306540223699139;0,309775039045094;0,307881244036095;0,00239969900836121;0,903527285358808;0,912949619356177;0,908426076295824;0,00369453049586939;0,29375029601387;0,307309157524383;0,300933029727915;0,00618638835501955;-0,0658253934102975;-0,037404676120807;-0,0517689997179949
"MT";0,00189772928030683;0,492231919432914;0,49874713704282;0,495398880192877;0,00255982016707568;0,879689111544309;0,889208887692933;0,884686353805196;0,00508747966856527;0,424886939946821;0,445046859450631;0,433320467881153;0,00844413304087351;-0,09017203135274;-0,0602420432238383;-0,0767945371870454
