"area";"exp";"ALETF45";"ALETF20";"ALEEP30";"ALEEP30RE015";"MIFTF45";"MIFTF20";"MIFEP30";"MIFEP30RE015";"PR1TF45";"PR1TF20";"PR2TF45";"PR2TF20";"PR2EP30";"PR2EP30RE015";"PR3EP30";"PR3EP30RE015"
"CH";"0";0;0;0;0;0,591269841269841;0,797619047619048;0,751322751322751;0,853174603174603;0;0;0;0;0;0;0;0
"CH";"(0,0.02]";0;0;0;0,391534391534392;0,128306878306878;0,0674603174603175;0,082010582010582;0,0396825396825397;0,485449735449735;0,787037037037037;0,212962962962963;0,760582010582011;0,657407407407407;0,743386243386243;0,187830687830688;0,69973544973545
"CH";"(0.02,0.05]";0,116402116402116;1;0,16005291005291;0,608465608465608;0,0489417989417989;0,0238095238095238;0,0330687830687831;0,0211640211640212;0,227513227513228;0,0925925925925926;0,503968253968254;0,128306878306878;0,182539682539683;0,189153439153439;0,646825396825397;0,276455026455026
"CH";"(0.05,0.1]";0,883597883597884;0;0,83994708994709;0;0,0462962962962963;0,0211640211640212;0,037037037037037;0,0211640211640212;0,10978835978836;0,0436507936507936;0,12962962962963;0,0502645502645503;0,0714285714285714;0,0502645502645503;0,085978835978836;0,0211640211640212
"CH";"(0.1,0.15]";0;0;0;0;0,0343915343915344;0,0238095238095238;0,0251322751322751;0,0145502645502645;0,041005291005291;0,0251322751322751;0,0489417989417989;0,0211640211640212;0,0264550264550265;0,0105820105820106;0,0291005291005291;0,00264550264550265
"CH";"(0.15,0.2]";0;0;0;0;0,0317460317460317;0,0132275132275132;0,0185185185185185;0,0119047619047619;0,0357142857142857;0,0171957671957672;0,0277777777777778;0,0171957671957672;0,0251322751322751;0,00529100529100529;0,0224867724867725;0
"CH";"(0.2,0.25]";0;0;0;0;0,0198412698412698;0,0132275132275132;0,0185185185185185;0,00925925925925926;0,0264550264550265;0,0145502645502645;0,0211640211640212;0,00925925925925926;0,0171957671957672;0,00132275132275132;0,0145502645502645;0
"CH";"(0.25,0.3]";0;0;0;0;0,0238095238095238;0,0145502645502645;0,00793650793650794;0,0105820105820106;0,0582010582010582;0,0158730158730159;0,0436507936507936;0,0132275132275132;0,0198412698412698;0;0,0132275132275132;0
"CH";"(0.3,0.4]";0;0;0;0;0,0343915343915344;0,0119047619047619;0,0119047619047619;0,00661375661375661;0,0158730158730159;0,00396825396825397;0,0119047619047619;0;0;0;0;0
"CH";"(0.4,1]";0;0;0;0;0,041005291005291;0,0132275132275132;0,0145502645502645;0,0119047619047619;0;0;0;0;0;0;0;0
