"area";"mean.a";"mean.b";"mean.c";"sd.a";"sd.b";"sd.c";"n"
"CH";2,18016310846561;1,09187329365079;0,17263123015873;0,953799721374756;0,802085187403465;0,0691876113892002;756
"CN";2,33866156208278;1,39254978638184;0,169309292389853;1,01230942793637;2,34572922115403;0,0694567935786791;749
"LC";2,20951647791619;0,79416536806342;0,16172933182333;0,904689105496355;0,824514332249038;0,0682634899205204;883
"MT";2,08758976010101;1,97030077020202;0,16251071969697;0,782937023666418;1,3256099743657;0,0591166215755811;792
