"area";"samp_n";"samp_m";"samp_sd";"samp_min";"samp_max";"pop_n";"pop_m";"pop_sd";"pop_min";"pop_max"
"CH";2268;0,0568027648341069;0,821218584676947;-1,53493900810257;2,42552755765292;2749073;0,0944291726747726;0,834952153994729;-1,6720594782299;3,2153058498798
"CN";2247;-0,0897133493177392;0,708980076233859;-1,48488974553942;2,51415536418454;2596735;-0,0937301180600387;0,70380414237698;-1,56711640819791;3,12687662463971
"LC";2649;0,223391029445136;0,674156789491546;-1,7863368058768;2,06892659548878;2751791;0,224544029464248;0,675289420694979;-1,95472124049368;2,7859482264123
"MT";2376;0,138295132702982;0,898464854050524;-1,32992919179921;3,35436496305324;2596527;0,159984746276933;0,901833706060004;-1,33378584761582;3,66366875954522
