"area";"samp_n";"samp_m";"samp_sd";"samp_min";"samp_max";"pop_n";"pop_m";"pop_sd";"pop_min";"pop_max"
"CH";2268;507,868518518518;92,231059245068;329,1;773,9;2749073;512,094340383104;93,7734764151481;313,7;862,6
"CN";2247;490,997240765465;80,1870645822019;333,2;785,5;2596735;490,542936187173;79,6016561111213;323,9;854,8
"LC";2649;524,123442808607;72,8669107489833;306,9;723,6;2751791;524,248065968673;72,9893323252375;288,7;801,1
"MT";2376;517,949410774411;116,482374468234;327,6;934,9;2596527;520,761382415819;116,919132655855;327,1;975
